inn,year,revenue
6228038066,2022,247949.0
6228038066,2021,385223.0
6228038066,2024,6271.0
6228038066,2023,47267.0
3627008639,2023,375932.0
3627008639,2021,177863.0
3627008639,2025,1679330.0
3627008639,2022,202177.0
3627008639,2024,795566.0
6312040240,2022,94504.0
6312040240,2025,1953455.0
6312040240,2024,1356420.0
6312040240,2023,16936.0
6312040240,2021,183001.0
2311011320,2025,342967.0
2311011320,2021,2385238.0
2311011320,2024,635033.0
2311011320,2022,1652665.0
2311011320,2023,1277064.0
5029014809,2024,242246.0
5029014809,2021,58821.0
5029014809,2023,83324.0
5029014809,2025,445606.0
5029014809,2022,66140.0
9102046280,2025,59128.0
9102046280,2023,49610.0
9102046280,2024,46047.0
9102046280,2021,49851.0
9102046280,2022,48228.0
2304016990,2024,754537.0
2304016990,2022,404889.0
2304016990,2023,718195.0
2304016990,2021,372993.0
2304016990,2025,1239967.0
3128065293,2024,144449.0
3128065293,2021,163419.0
3128065293,2025,97310.0
3128065293,2022,180648.0
3128065293,2023,140260.0
7414000992,2023,121737.0
7414000992,2025,135811.0
7414000992,2024,135749.0
7414000992,2022,90819.0
7414000992,2021,115932.0
541000015,2021,24887.0
541000015,2023,46626.0
541000015,2024,16745.0
541000015,2025,21202.0
541000015,2022,69215.0
3663001942,2025,72064.0
3663001942,2024,909614.0
3663001942,2023,1047281.0
3663001942,2022,808204.0
3663001942,2021,688247.0
2108002261,2025,2699.0
2108002261,2022,
2108002261,2021,0.0
2108002261,2024,3851.0
2108002261,2023,24395.0
7710478789,2023,186438.0
7710478789,2025,184660.0
7710478789,2022,172025.0
7710478789,2024,200509.0
7710478789,2021,156494.0
8003021109,2022,7966.0
8003021109,2021,8297.0
8003021109,2025,11219.0
8003021109,2023,9396.0
8003021109,2024,11466.0
1830000270,2021,418755.0
1830000270,2025,207641.0
1830000270,2022,432226.0
1830000270,2023,316699.0
1830000270,2024,228166.0
1510008048,2023,89893.0
1510008048,2025,77748.0
1510008048,2024,162320.0
1510008048,2021,103870.0
1510008048,2022,193524.0
5029022704,2023,45489.0
5029022704,2022,34633.0
5029022704,2021,187792.0
5029022704,2025,76456.0
5029022704,2024,60471.0
7830001839,2022,978274.0
7830001839,2025,3799.0
7830001839,2021,1662343.0
7830001839,2024,223682.0
7830001839,2023,1076840.0
5004000089,2024,21277.0
5004000089,2022,24407.0
5004000089,2023,22694.0
5004000089,2021,23494.0
5004000089,2025,20203.0
5005001110,2025,57853.0
5005001110,2023,91728.0
5005001110,2021,59037.0
5005001110,2024,59709.0
5005001110,2022,55255.0
7704040517,2023,1246657.0
7704040517,2021,1098249.0
7704040517,2024,535615.0
7704040517,2022,330035.0
7704040517,2025,1241394.0
7709502155,2025,98824.0
7709502155,2023,100202.0
7709502155,2022,116564.0
7709502155,2024,95331.0
7709502155,2021,59088.0
9715426146,2024,3247004.0
9715426146,2022,313184.0
9715426146,2023,1717371.0
9715426146,2025,3870268.0
1629003431,2021,32679.0
1629003431,2023,64277.0
1629003431,2024,21499.0
1629003431,2025,14463.0
1629003431,2022,31074.0
7726065829,2021,304823.0
7726065829,2025,92624.0
7726065829,2023,97619.0
7726065829,2024,112020.0
7726065829,2022,265331.0
7719741321,2022,1089389.0
7719741321,2023,1227501.0
7719741321,2021,304886.0
7719741321,2024,2797271.0
7802148357,2024,1813828.0
7802148357,2025,1275417.0
7802148357,2021,290627.0
7802148357,2022,531607.0
7802148357,2023,731812.0
7718874505,2023,2242269.0
7718874505,2025,0.0
7718874505,2024,256575.0
7718874505,2022,254038.0
7718874505,2021,339959.0
7202255830,2024,787562.0
7202255830,2022,211486.0
7202255830,2023,764552.0
7202255830,2021,258303.0
7813427641,2025,152641.0
7813427641,2023,390496.0
7813427641,2022,578410.0
7813427641,2021,1395557.0
7813427641,2024,181318.0
7815014022,2022,17176.0
7815014022,2025,
7815014022,2024,0.0
7815014022,2021,177749.0
7815014022,2023,13180.0
1655409759,2022,228709.0
1655409759,2023,3456.0
1655409759,2024,258.0
1655409759,2021,406440.0
1655409759,2025,353.0
2115000346,2021,1134770.0
2115000346,2022,1108802.0
2115000346,2023,2548445.0
2115000346,2025,1957266.0
2115000346,2024,2810402.0
7816131635,2025,888901.0
7816131635,2021,443459.0
7816131635,2023,1637702.0
7816131635,2022,903112.0
7816131635,2024,1440127.0
2525003164,2023,7130.0
2525003164,2022,76881.0
2525003164,2021,230345.0
2525003164,2024,0.0
6316135260,2025,250.0
6316135260,2023,7948.0
6316135260,2021,0.0
6316135260,2024,198.0
6316135260,2022,0.0
7714938405,2021,454500.0
7714938405,2023,736098.0
7714938405,2024,299594.0
7714938405,2025,289214.0
7714938405,2022,1113226.0
7715278180,2021,145016.0
7715278180,2022,0.0
7706194960,2023,165834.0
7706194960,2021,273802.0
7706194960,2025,194595.0
7706194960,2024,174642.0
7706194960,2022,151548.0
7803058547,2024,738.0
7803058547,2023,1457.0
7803058547,2021,31078.0
7803058547,2022,10249.0
7803058547,2025,0.0
603282806,2024,870783.0
603282806,2021,1174701.0
603282806,2022,1734798.0
603282806,2025,67711.0
603282806,2023,1645073.0
7709211195,2023,18453.0
7709211195,2024,1125.0
7709211195,2021,38331.0
7709211195,2022,20153.0
7709211195,2025,0.0
4401159638,2022,195380.0
4401159638,2021,94097.0
4401159638,2023,131786.0
4401159638,2025,199776.0
4401159638,2024,189281.0
3917000617,2024,44615.0
3917000617,2022,40484.0
3917000617,2023,3387.0
3917000617,2021,34526.0
3917000617,2025,144789.0
6674164790,2024,1423661.0
6674164790,2022,188772.0
6674164790,2021,280033.0
6674164790,2023,633419.0
6674164790,2025,1062829.0
317002279,2023,339562.0
317002279,2024,1033874.0
317002279,2025,195773.0
317002279,2022,28094.0
317002279,2021,10685.0
7714938300,2021,141167.0
7714938300,2022,67079.0
7714938300,2024,365708.0
7714938300,2025,572297.0
7714938300,2023,375670.0
1659002192,2023,61613.0
1659002192,2025,97096.0
1659002192,2022,49585.0
1659002192,2024,27089.0
1659002192,2021,64989.0
7713161050,2022,1161266.0
7713161050,2024,2193416.0
7713161050,2023,1305119.0
7713161050,2021,1433927.0
7713161050,2025,2697729.0
2536131136,2025,792.0
2536131136,2023,69982.0
2536131136,2021,167281.0
2536131136,2024,19912.0
2536131136,2022,84397.0
2543028394,2023,47654.0
2543028394,2022,12758.0
2543028394,2021,27840.0
2543028394,2024,52583.0
2543028394,2025,37533.0
2203003875,2021,57983.0
2203003875,2023,154804.0
2203003875,2022,94743.0
2203003875,2024,176435.0
2203003875,2025,143369.0
9701187346,2022,271827.0
9701187346,2025,1387409.0
9701187346,2023,350628.0
9701187346,2024,603164.0
3207001905,2024,69186.0
3207001905,2025,60027.0
3207001905,2021,73347.0
3207001905,2023,86576.0
3207001905,2022,107802.0
7728786311,2022,710015.0
7728786311,2023,237814.0
7728786311,2025,812083.0
7728786311,2021,179559.0
7728786311,2024,728986.0
8300003864,2024,29661.0
8300003864,2023,47945.0
8300003864,2025,0.0
8300003864,2022,106337.0
8300003864,2021,39609.0
7224001941,2021,70157.0
7224001941,2024,761.0
7224001941,2022,53987.0
7224001941,2023,1142.0
7224001941,2025,867.0
7708280326,2024,78583.0
7708280326,2025,53105.0
7708280326,2021,139632.0
7708280326,2022,224224.0
7708280326,2023,20225.0
7801070620,2022,14692.0
7801070620,2024,694067.0
7801070620,2023,375182.0
7801070620,2021,12746.0
7801070620,2025,1279037.0
9722013742,2025,966375.0
9722013742,2022,421097.0
9722013742,2023,1368820.0
9722013742,2024,3605624.0
6731028404,2021,1204445.0
6731028404,2025,1026914.0
6731028404,2024,2533131.0
6731028404,2023,1862621.0
6731028404,2022,1154815.0
5046048999,2022,147421.0
5046048999,2021,690631.0
5046048999,2025,41400.0
5046048999,2024,78240.0
5046048999,2023,96051.0
7203047511,2025,156677.0
7203047511,2023,483423.0
7203047511,2022,249456.0
7203047511,2024,343797.0
7203047511,2021,383952.0
2809000390,2024,59850.0
2809000390,2025,58438.0
2809000390,2021,57831.0
2809000390,2022,97704.0
2809000390,2023,128580.0
6163068567,2022,1107443.0
6163068567,2023,503787.0
6163068567,2021,553093.0
6658521941,2022,1414947.0
6658521941,2021,280494.0
6658521941,2023,456362.0
7702020219,2021,168575.0
7702020219,2023,155649.0
7702020219,2025,209291.0
7702020219,2024,170072.0
7702020219,2022,159182.0
7701969903,2025,424839.0
7701969903,2021,353503.0
7701969903,2022,430469.0
7701969903,2023,525812.0
7701969903,2024,420033.0
5053033231,2023,52772.0
5053033231,2022,1328691.0
5053033231,2024,450.0
5053033231,2021,
5053033231,2025,993.0
2306000450,2024,92975.0
2306000450,2023,58416.0
2306000450,2025,94277.0
2306000450,2022,32335.0
2306000450,2021,118005.0
2126003691,2025,3149750.0
2126003691,2022,2104616.0
2126003691,2024,2630461.0
2126003691,2023,2824138.0
2126003691,2021,1480264.0
2129003280,2023,873170.0
2129003280,2024,1324261.0
2129003280,2022,846571.0
2129003280,2021,796906.0
2129003280,2025,1869802.0
3235001826,2025,414194.0
3235001826,2021,401217.0
3235001826,2022,311642.0
3235001826,2023,339843.0
3235001826,2024,267659.0
1215048572,2023,460004.0
1215048572,2024,1030060.0
1215048572,2021,437723.0
1215048572,2022,373142.0
1215048572,2025,977758.0
6312134360,2022,238663.0
6312134360,2025,605477.0
6312134360,2023,999841.0
6312134360,2024,573234.0
6312134360,2021,2364429.0
6312102986,2023,900036.0
6312102986,2021,84360.0
6312102986,2024,38602.0
6312102986,2022,380405.0
6312102986,2025,613354.0
2104000471,2024,144528.0
2104000471,2023,101087.0
2104000471,2025,137322.0
2104000471,2021,59214.0
2104000471,2022,89184.0
1215014090,2021,371559.0
1215014090,2022,708358.0
1215014090,2025,763688.0
1215014090,2023,578866.0
1215014090,2024,1171691.0
2902001119,2023,236144.0
2902001119,2025,156770.0
2902001119,2024,94660.0
2902001119,2022,177076.0
2902001119,2021,172463.0
1001010821,2023,1318962.0
1001010821,2022,644115.0
1001010821,2025,480345.0
1001010821,2021,787527.0
1001010821,2024,603702.0
2128007123,2022,596399.0
2128007123,2021,522492.0
2128007123,2023,1311554.0
2128007123,2025,2877066.0
2128007123,2024,876172.0
2129005369,2021,1119547.0
2129005369,2022,870506.0
2129005369,2023,1677131.0
2129005369,2025,1767005.0
2129005369,2024,2187431.0
7705014485,2021,600.0
7705014485,2022,651.0
7705014485,2023,1513.0
7705014485,2025,30190.0
7705014485,2024,30500.0
5016018436,2023,855.0
5016018436,2022,84.0
5016018436,2021,1098.0
5016018436,2024,82.0
5016018436,2025,55.0
1651000330,2023,38801.0
1651000330,2024,10728.0
1651000330,2022,34645.0
1651000330,2025,42584.0
1651000330,2021,20253.0
1215012600,2025,1030269.0
1215012600,2023,111064.0
1215012600,2021,166785.0
1215012600,2024,156532.0
1215012600,2022,189290.0
1659000692,2021,94756.0
1659000692,2022,92601.0
1659000692,2025,16857.0
1659000692,2024,37664.0
1659000692,2023,48153.0
7710100355,2025,951233.0
7710100355,2023,453546.0
7710100355,2024,948843.0
7710100355,2022,703391.0
7710100355,2021,624410.0
3811167567,2023,136186.0
3811167567,2021,143026.0
3811167567,2022,106814.0
7606011268,2024,220719.0
7606011268,2022,95867.0
7606011268,2021,150805.0
7606011268,2025,262478.0
7606011268,2023,163532.0
3610007820,2022,21229.0
3610007820,2021,21529.0
3610007820,2025,36844.0
3610007820,2023,28944.0
3610007820,2024,24931.0
7714797240,2023,317952.0
7714797240,2024,145455.0
7714797240,2022,326612.0
7714797240,2021,211241.0
7714797240,2025,45573.0
5238000045,2024,1104599.0
5238000045,2023,1080885.0
5238000045,2022,1244714.0
5238000045,2021,950716.0
5238000045,2025,1565420.0
2528000901,2025,41861.0
2528000901,2024,51736.0
2528000901,2022,130313.0
2528000901,2021,134015.0
2528000901,2023,56983.0
1300008210,2024,676401.0
1300008210,2023,614194.0
5406293244,2022,882.0
5406293244,2021,41443.0
5406293244,2023,0.0
5406293244,2024,3305.0
6686038662,2025,564296.0
6686038662,2023,312209.0
6686038662,2024,508613.0
6686038662,2022,227741.0
6686038662,2021,108252.0
4704057466,2021,117619.0
4704057466,2025,106194.0
4704057466,2023,132668.0
4704057466,2022,135310.0
4704057466,2024,100181.0
2538066595,2023,34477.0
2538066595,2022,40985.0
2538066595,2021,50237.0
2538066595,2024,30468.0
2538066595,2025,53090.0
7730247451,2021,210375.0
7730247451,2022,199249.0
7730247451,2025,52625.0
7730247451,2023,187488.0
7730247451,2024,123866.0
2801016951,2024,2115446.0
2801016951,2023,1257624.0
2801016951,2025,2193986.0
2801016951,2022,1752016.0
2801016951,2021,1600136.0
7710442630,2022,680656.0
7710442630,2025,186205.0
7710442630,2021,516612.0
7710442630,2023,646163.0
7710442630,2024,1216065.0
3528001689,2022,238668.0
3528001689,2023,185417.0
3528001689,2021,715868.0
3528001689,2025,564199.0
3528001689,2024,446930.0
3729011599,2025,75804.0
3729011599,2021,170798.0
3729011599,2022,145235.0
3729011599,2024,43192.0
3729011599,2023,46656.0
7825405201,2024,1123855.0
7825405201,2022,452661.0
7825405201,2025,1594276.0
7825405201,2023,404034.0
7808003527,2023,190941.0
7808003527,2021,139409.0
7808003527,2022,108976.0
7808003527,2025,1263.0
7808003527,2024,51190.0
7810182560,2024,323738.0
7810182560,2022,217478.0
7810182560,2023,51975.0
7810182560,2025,301621.0
7810182560,2021,394274.0
4632297547,2023,1402453.0
4632297547,2024,1604953.0
7751046749,2023,99158.0
7751046749,2022,152031.0
7751046749,2025,83727.0
7751046749,2024,167374.0
7751046749,2021,92748.0
7825697956,2021,476569.0
7825697956,2023,962538.0
7825697956,2025,824883.0
7825697956,2022,412752.0
7825697956,2024,1142587.0
2634011648,2023,7245.0
2634011648,2024,1154.0
2634011648,2025,2260.0
2634011648,2022,3418.0
2634011648,2021,17837.0
7728245263,2023,18.0
7728245263,2025,0.0
7728245263,2024,26477.0
7728245263,2022,60590.0
7728245263,2021,63757.0
3123004106,2022,169117.0
3123004106,2021,163482.0
3123004106,2024,400.0
3123004106,2025,0.0
3123004106,2023,9650.0
7704027964,2023,1027192.0
7704027964,2025,96372.0
7704027964,2021,128811.0
7704027964,2024,758413.0
7704027964,2022,838762.0
7712103721,2024,3143810.0
7712103721,2025,6079192.0
7712103721,2022,379326.0
7712103721,2023,1813009.0
7712103721,2021,96159.0
7708251822,2021,208586.0
7708251822,2022,0.0
7206000783,2023,300379.0
7206000783,2021,131345.0
7206000783,2022,123585.0
7206000783,2024,361299.0
7206000783,2025,54555.0
7733043569,2025,2365657.0
7733043569,2022,677032.0
7733043569,2021,118115.0
7733043569,2024,1579356.0
7733043569,2023,2927967.0
6617006973,2021,815529.0
6617006973,2025,703556.0
6617006973,2023,792386.0
6617006973,2024,497222.0
6617006973,2022,324950.0
5407181328,2024,166329.0
5407181328,2023,262978.0
5407181328,2025,203632.0
5407181328,2021,628806.0
5407181328,2022,237993.0
5032001704,2024,690293.0
5032001704,2021,241446.0
5032001704,2023,516515.0
5032001704,2022,131210.0
7817014691,2021,970637.0
7817014691,2025,840241.0
7817014691,2024,603341.0
7817014691,2022,463947.0
7817014691,2023,272205.0
7729279642,2022,101655.0
7729279642,2024,54894.0
7729279642,2025,13343.0
7729279642,2023,6478.0
7729279642,2021,365364.0
1657102836,2023,3087373.0
1657102836,2022,964627.0
1657102836,2024,2708752.0
1657102836,2025,4458544.0
1657102836,2021,1401724.0
7714474168,2021,148693.0
7714474168,2022,1075620.0
7714474168,2023,97505.0
3438004903,2025,143612.0
3438004903,2021,170100.0
3438004903,2024,25563.0
3438004903,2022,101178.0
3438004903,2023,212601.0
7830000352,2021,249537.0
7830000352,2023,264517.0
7830000352,2024,438483.0
7830000352,2025,484488.0
7830000352,2022,293866.0
6320010256,2021,441618.0
6320010256,2025,742634.0
6320010256,2022,458591.0
6320010256,2023,234915.0
6320010256,2024,645419.0
7826098137,2025,78903.0
7826098137,2021,401862.0
7826098137,2022,352160.0
7826098137,2023,221084.0
7826098137,2024,129477.0
7721001557,2024,3174.0
7721001557,2023,140655.0
7721001557,2021,828406.0
7721001557,2025,26390.0
7721001557,2022,208258.0
7722121864,2025,149218.0
7722121864,2021,128783.0
7722121864,2022,164301.0
7722121864,2023,127037.0
7722121864,2024,157782.0
273068738,2023,389705.0
273068738,2021,290130.0
273068738,2025,134369.0
273068738,2024,121828.0
273068738,2022,394337.0
7604303628,2021,202265.0
7604303628,2022,137955.0
5042013917,2025,38282.0
5042013917,2023,50444.0
5042013917,2022,53222.0
5042013917,2024,51342.0
5042013917,2021,60956.0
3666003835,2022,639631.0
3666003835,2024,937839.0
3666003835,2023,504168.0
3666003835,2025,857862.0
3666003835,2021,661825.0
3445013151,2025,299353.0
3445013151,2022,255060.0
3445013151,2024,260663.0
3445013151,2023,315251.0
3445013151,2021,202786.0
7730045102,2025,188415.0
7730045102,2023,356923.0
7730045102,2022,241164.0
7730045102,2021,256248.0
7730045102,2024,309034.0
7801233786,2021,2146877.0
7801233786,2023,1433855.0
7801233786,2022,1296538.0
7801233786,2025,136503.0
7801233786,2024,774964.0
276029529,2022,5155.0
276029529,2021,18163.0
276029529,2024,88.0
276029529,2023,0.0
276029529,2025,0.0
7734008581,2022,596480.0
7734008581,2023,431148.0
7734008581,2021,722393.0
7734008581,2025,0.0
7453326003,2024,2992477.0
7453326003,2022,315667.0
7453326003,2021,211816.0
7453326003,2023,195398.0
7453326003,2025,3058612.0
7723736010,2021,1421640.0
7723736010,2022,1219814.0
7723736010,2024,112081.0
7723736010,2023,827973.0
7723736010,2025,0.0
2309001518,2025,644381.0
2309001518,2022,437098.0
2309001518,2023,316506.0
2309001518,2021,526031.0
2309001518,2024,640972.0
7733141647,2025,
7733141647,2021,442866.0
3826003787,2025,21723.0
3826003787,2022,601174.0
3826003787,2024,344468.0
3826003787,2021,289554.0
3826003787,2023,237629.0
3327100993,2021,60037.0
3327100993,2022,1429.0
7203151985,2022,27067.0
7203151985,2023,12481.0
7203151985,2024,513373.0
7203151985,2021,137564.0
7203151985,2025,269694.0
2801048449,2022,414857.0
2801048449,2024,556138.0
2801048449,2023,475219.0
2801048449,2025,268119.0
2801048449,2021,59703.0
3128001437,2023,1414750.0
3128001437,2022,813707.0
3128001437,2024,1598583.0
3128001437,2025,1501372.0
3128001437,2021,422839.0
2310043720,2021,6739.0
2310043720,2022,28280.0
2310043720,2023,179911.0
2310043720,2025,2588.0
2310043720,2024,97358.0
1435023848,2022,259601.0
1435023848,2025,103822.0
1435023848,2024,397922.0
1435023848,2023,158839.0
1435023848,2021,346147.0
6316104945,2024,392003.0
6316104945,2023,1882195.0
6316104945,2021,486311.0
6316104945,2022,652362.0
6316104945,2025,309719.0
7816300957,2021,1808439.0
7816300957,2025,5849564.0
7816300957,2024,3789003.0
7816300957,2023,4607399.0
7816300957,2022,1703132.0
4217159611,2025,236582.0
4217159611,2024,541562.0
4217159611,2022,336239.0
4217159611,2021,455158.0
4217159611,2023,315330.0
6905008053,2021,16286.0
6905008053,2023,8283.0
6905008053,2024,2053.0
6905008053,2022,12907.0
6905008053,2025,6813.0
7104007243,2022,48319.0
7104007243,2025,0.0
7104007243,2024,627.0
7104007243,2021,33557.0
7104007243,2023,16746.0
2125002230,2022,44869.0
2125002230,2024,64989.0
2125002230,2025,96152.0
2125002230,2023,83816.0
2125002230,2021,95914.0
7719037926,2025,0.0
7719037926,2022,177646.0
7719037926,2023,137672.0
7719037926,2021,105787.0
7719037926,2024,1367.0
5077000274,2022,152997.0
5077000274,2023,11657.0
5077000274,2021,232776.0
5077000274,2024,19365.0
5077000274,2025,9508.0
7728518506,2021,142520.0
7728518506,2023,222777.0
7728518506,2025,257201.0
7728518506,2024,286031.0
7728518506,2022,267091.0
3128041662,2023,68892.0
3128041662,2025,74034.0
3128041662,2024,358599.0
3128041662,2022,34589.0
3128041662,2021,20640.0
6318136702,2023,605.0
6318136702,2022,4166.0
6318136702,2024,15007.0
6318136702,2021,871.0
6318136702,2025,124287.0
5013048425,2023,1416384.0
5013048425,2022,530457.0
5013048425,2021,281120.0
5013048425,2024,2153372.0
5013048425,2025,2007101.0
8603097950,2025,1227.0
8603097950,2021,94613.0
8603097950,2023,15539.0
8603097950,2022,34004.0
8603097950,2024,17723.0
7701039070,2025,0.0
7701039070,2024,7311.0
7701039070,2023,72076.0
7701039070,2022,42252.0
7701039070,2021,123678.0
6454004416,2025,397393.0
6454004416,2021,84610.0
6454004416,2022,188535.0
6454004416,2024,349184.0
6454004416,2023,264039.0
3906154164,2021,103129.0
3906154164,2024,154947.0
3906154164,2025,176488.0
3906154164,2023,72241.0
3906154164,2022,112307.0
2722057024,2021,36492.0
2722057024,2022,63067.0
2722057024,2023,45206.0
2722057024,2024,34554.0
2722057024,2025,48408.0
5009048221,2024,41711.0
5009048221,2022,35184.0
5009048221,2021,34092.0
5009048221,2023,36721.0
5009048221,2025,42187.0
3906205764,2022,1576911.0
