name,subject_type,category,ogrn,inn,activity,region,district,city,settlement,new_subject,date_inclusion,date_exclusion,phone,email,www,has_license,has_contracts,innovative_production,partnership_program,social_enterprise,employees
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",Юридическое лицо,Среднее предприятие,1037739289136,7709008852,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2023-07-10,,,,,True,False,False,False,False,205
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЙКАЛСТРОЙГРАД""",Юридическое лицо,Среднее предприятие,1133850019588,3811167535,41.20 Строительство жилых и нежилых зданий,38 - Иркутская область,,г Иркутск,,False,2023-07-10,,,,,False,False,False,False,False,208
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,1037821032061,7810255553,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2017-08-10,,,,,True,False,False,False,False,11
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЕЛОМОРСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""""",Юридическое лицо,Малое предприятие,1021000977315,1011005108,41.20 Строительство жилых и нежилых зданий,10 - Республика Карелия,Беломорский р-н,г Беломорск,,False,2017-08-10,,,,,False,False,False,False,False,54
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ""",Юридическое лицо,Малое предприятие,1062310006351,2310111297,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,False,2017-08-10,,,,,False,False,False,False,False,15
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",Юридическое лицо,Малое предприятие,1053244000809,3250057750,41.20 Строительство жилых и нежилых зданий,32 - Брянская область,,г Брянск,,False,2017-08-10,,,,,True,False,False,False,False,8
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕСТ КОНСТРАКШН""",Юридическое лицо,Среднее предприятие,1067746666998,7703595570,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2019-08-10,,,,,False,False,False,False,False,55
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИСКО""",Юридическое лицо,Малое предприятие,1027807562210,7813059155,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2021-07-10,,,,,True,False,False,False,False,0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,1227700020085,7743373485,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2024-01-10,,,,,False,False,False,False,False,4
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",Юридическое лицо,Малое предприятие,1023301463536,3328412522,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,г Владимир,,False,2017-08-10,,,,,True,False,False,False,False,64
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛС-СЕРВИС""",Юридическое лицо,Малое предприятие,1027739927852,7728135831,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2022-09-10,,,,,False,False,False,False,False,98
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНАЯ СИБИРЬ""",Юридическое лицо,Малое предприятие,1022402472674,2465006513,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,False,2017-08-10,,,,,True,False,False,False,False,24
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",Юридическое лицо,Малое предприятие,1025900532008,5902115094,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,False,2017-08-10,,,,,True,False,False,False,False,47
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДЧИК""",Юридическое лицо,Малое предприятие,1022502119342,2539030721,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Владивосток,,False,2017-08-10,,,,,True,False,False,False,False,23
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВЗАРУБЕЖСТРОЙ""",Юридическое лицо,Среднее предприятие,1087746976239,7704697207,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2021-07-10,,,,,True,False,False,False,False,0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВУКС""",Юридическое лицо,Малое предприятие,1027700355165,5000000218,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2017-08-10,,,,,False,False,False,False,False,15
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАЖДАНСТРОЙ""",Юридическое лицо,Малое предприятие,1026701420877,6731010189,41.20 Строительство жилых и нежилых зданий,67 - Смоленская область,,г Смоленск,,False,2022-09-10,,,,,False,False,False,False,False,56
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГРАНИ ГОРОДА""",Юридическое лицо,Среднее предприятие,1225000056270,5044125655,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2023-07-10,,,,,False,False,False,False,False,47
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЕР СТРОЙ""",Юридическое лицо,Малое предприятие,1217700121980,7743356592,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2021-04-10,,,,,False,False,False,False,False,1
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬМОРМОНТАЖ-ВОСТОЧНЫЙ""",Юридическое лицо,Малое предприятие,1022500703818,2508045333,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,,г Находка,,False,2017-08-10,,,,,False,False,False,False,False,42
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАПАЗОН""",Юридическое лицо,Малое предприятие,1027807560967,7814027004,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2017-08-10,,,,,True,False,False,False,False,24
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОЛГОПРУДНЕНСКОЕ УПРАВЛЕНИЕ КАПИТАЛЬНОГО СТРОИТЕЛЬСТВА""",Юридическое лицо,Малое предприятие,1025001200762,5025012896,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Долгопрудный,,False,2017-08-10,,,,,False,False,False,False,False,13
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",Юридическое лицо,Малое предприятие,1023101658425,3123040930,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,,г Белгород,,False,2017-08-10,,,,,False,False,False,False,False,32
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ № 1""",Юридическое лицо,Малое предприятие,1027739273847,7714046959,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2022-07-10,,,,,True,False,False,False,False,
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №2""",Юридическое лицо,Малое предприятие,1025204417160,5263001814,41.20 Строительство жилых и нежилых зданий,52 - Нижегородская область,,г Нижний Новгород,,False,2017-08-10,,,,,False,False,False,False,False,38
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНЫЙ ЦЕНТР ВНЕДРЕНИЯ""",Юридическое лицо,Малое предприятие,1026402204333,6450042805,41.20 Строительство жилых и нежилых зданий,64 - Саратовская область,,г Саратов,,False,2023-07-10,,,,,True,False,False,False,False,6
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСК""",Юридическое лицо,Малое предприятие,1022402648674,2466000401,41.20 Строительство жилых и нежилых зданий,24 - Красноярский край,,г Красноярск,,False,2017-08-10,,,,,False,False,False,False,False,47
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСУ-3""",Юридическое лицо,Малое предприятие,1026002142077,6013000288,41.20 Строительство жилых и нежилых зданий,60 - Псковская область,Островский р-н,г Остров,,False,2017-08-10,,,,,True,False,False,False,False,16
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКБ-ОТДЕЛСТРОЙ""",Юридическое лицо,Среднее предприятие,1076670001682,6670160730,41.20 Строительство жилых и нежилых зданий,66 - Свердловская область,,г Екатеринбург,,False,2017-08-10,,,,,False,False,False,False,False,53
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЗДРИНСКАЯ ПМК""",Юридическое лицо,Малое предприятие,1024000598797,4006002065,41.20 Строительство жилых и нежилых зданий,40 - Калужская область,Жиздринский р-н,г. Жиздра,,False,2017-08-10,,,,,False,False,False,False,False,16
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЛТРАНС""",Юридическое лицо,Малое предприятие,1127746276041,7733799210,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,,г Ярославль,,False,2017-08-10,,,,,True,False,False,False,False,76
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРЕЧЬЕ""",Юридическое лицо,Малое предприятие,1021603884785,1653008582,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,False,2023-07-10,,,,,True,False,False,False,False,16
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗОНАЛЬНОЕ""",Юридическое лицо,Малое предприятие,1026501180947,6517004027,41.20 Строительство жилых и нежилых зданий,65 - Сахалинская область,ТЫМОВСКИЙ РАЙОН,,СЕЛО ЗОНАЛЬНОЕ,False,2017-08-10,,,,,True,False,False,False,False,7
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИМПУЛЬС""",Юридическое лицо,Малое предприятие,1022500616104,2528000926,41.20 Строительство жилых и нежилых зданий,25 - Приморский край,Тернейский р-н,,пгт Терней,False,2017-08-10,,,,,True,False,False,False,False,32
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНВЕСТСТРОЙГАРАНТ""",Юридическое лицо,Малое предприятие,1047796125112,7705585440,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2017-08-10,,,,,False,False,False,False,False,17
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИННОВАЦИОННОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВОМ""",Юридическое лицо,Малое предприятие,1037739552795,7719243661,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2017-08-10,,,,,False,False,False,False,False,23
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЭФКОР""",Юридическое лицо,Малое предприятие,1027700462162,7720019008,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2019-11-10,,,,,True,False,False,False,False,29
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЛИНИНГРАДАГРОСТРОЙ""",Юридическое лицо,Малое предприятие,1023901012772,3906034170,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,,г Калининград,,False,2017-08-10,,,,,True,False,False,False,False,27
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО И РЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,1167746813299,7714406538,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2018-08-10,,,,,False,False,False,False,False,87
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЁНИГ-ХОЛЬЦ""",Юридическое лицо,Малое предприятие,1023902053251,3903008430,41.20 Строительство жилых и нежилых зданий,39 - Калининградская область,Светлогорский р-н,г Светлогорск,,False,2017-08-10,,,,,True,False,False,False,False,21
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ ""СВЯЗЬ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",Юридическое лицо,Малое предприятие,1027719011924,7719258347,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2018-08-10,,,,,True,False,False,False,False,5
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ СПЕЦСТРОЙРЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,1107746371380,7729655368,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2022-09-10,,,,,True,False,False,False,False,19
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПЛЕКСНЫЕ СТРОИТЕЛЬНЫЕ РЕШЕНИЯ""",Юридическое лицо,Малое предприятие,1097604007445,7604156684,41.20 Строительство жилых и нежилых зданий,76 - Ярославская область,,г Ярославль,,False,2017-08-10,,,,,False,False,False,False,False,19
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСАЛТИНГСТРОЙИНВЕСТ""",Юридическое лицо,Малое предприятие,1137017014155,7017334036,41.20 Строительство жилых и нежилых зданий,70 - Томская область,,г Томск,,False,2017-08-10,,,,,True,False,False,False,False,146
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНТИ""",Юридическое лицо,Среднее предприятие,1157746740920,9701004970,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2017-08-10,,,,,False,False,False,False,False,74
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЭМ""",Юридическое лицо,Малое предприятие,1026200955494,6228038066,41.20 Строительство жилых и нежилых зданий,62 - Рязанская область,,г Рязань,,False,2017-08-10,,,,,False,False,False,False,False,8
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТТЕДЖ-ИНДУСТРИЯ""",Юридическое лицо,Малое предприятие,1023601232995,3627008639,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,Россошанский р-н,г Россошь,,False,2017-08-10,,,,,True,False,False,False,False,19
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОШЕЛЕВ-ПРОЕКТ""",Юридическое лицо,Малое предприятие,1026300770099,6312040240,41.20 Строительство жилых и нежилых зданий,63 - Самарская область,,г Самара,,False,2019-08-10,,,,,False,False,False,False,False,4
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОДАРСКИЙ ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1""",Юридическое лицо,Среднее предприятие,1022301812785,2311011320,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Краснодар,,False,2023-07-10,,,,,False,False,False,False,False,11
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОПОЛЯНСКАЯ ПТИЦЕФАБРИКА""",Юридическое лицо,Малое предприятие,1025003520057,5029014809,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Мытищи,д Аббакумово,False,2023-10-10,,,,,True,False,False,False,False,29
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРЫМСТРОЙ""",Юридическое лицо,Малое предприятие,1149102093645,9102046280,41.20 Строительство жилых и нежилых зданий,91 - Республика Крым,,г Симферополь,,False,2017-08-10,,,,,False,False,False,False,False,26
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУРОРТСТРОЙ""",Юридическое лицо,Малое предприятие,1022300768270,2304016990,41.20 Строительство жилых и нежилых зданий,23 - Краснодарский край,,г Геленджик,,False,2017-08-10,,,,,True,False,False,False,False,71
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАВР-БЕЛГОРОД""",Юридическое лицо,Малое предприятие,1083128000890,3128065293,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,,г Старый Оскол,,False,2017-08-10,,,,,False,False,False,False,False,14
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОСТРОЙ""",Юридическое лицо,Малое предприятие,1027402053755,7414000992,41.20 Строительство жилых и нежилых зданий,74 - Челябинская область,,г Магнитогорск,,False,2017-08-10,,,,,True,False,False,False,False,2
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАХАЧКАЛИНСКИЙ ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ""",Юридическое лицо,Малое предприятие,1020502528397,541000015,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,,г Махачкала,,False,2019-08-10,,,,,False,False,False,False,False,29
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАШОПТТОРГ""",Юридическое лицо,Малое предприятие,1023601580001,3663001942,41.20 Строительство жилых и нежилых зданий,36 - Воронежская область,,г Воронеж,,False,2017-08-10,,,,,False,False,False,False,False,17
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖХОЗЯЙСТВЕННАЯ СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КОМСОМОЛЬСКАЯ""",Юридическое лицо,Малое предприятие,1022101830288,2108002261,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,Комсомольский р-н,,с Комсомольское,False,2017-08-10,,,,,False,False,False,False,False,11
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕХЗАВОД""",Юридическое лицо,Малое предприятие,1107847380520,7710478789,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2020-08-10,,,,,False,False,False,False,False,14
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОГОЙТУЙСКАЯ МСО""",Юридическое лицо,Малое предприятие,1028002329926,8003021109,41.20 Строительство жилых и нежилых зданий,75 - Забайкальский край,Могойтуйский р-н,,пгт Могойтуй,False,2017-08-10,,,,,False,False,False,False,False,15
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЖГИНСКОЕ СТРОИТЕЛЬНОЕ ОБЪЕДИНЕНИЕ""",Юридическое лицо,Среднее предприятие,1021801125290,1830000270,41.20 Строительство жилых и нежилых зданий,18 - Удмуртская Республика,,г Можга,,False,2023-07-10,,,,,True,False,False,False,False,220
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОЗДОКСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №3""",Юридическое лицо,Малое предприятие,1021500919549,1510008048,41.20 Строительство жилых и нежилых зданий,15 - Республика Северная Осетия - Алания,Моздокский р-н,г Моздок,,False,2017-08-10,,,,,True,False,False,False,False,50
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТ""",Юридическое лицо,Малое предприятие,1025003519023,5029022704,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Мытищи,,False,2023-12-10,,,,,False,False,False,False,False,12
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОНОЛИТСТРОЙ""",Юридическое лицо,Среднее предприятие,1027809200627,7830001839,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2018-08-10,,,,,True,False,False,False,False,13
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСЕЛЬСТРОЙ-18""",Юридическое лицо,Малое предприятие,1025000844329,5004000089,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Волоколамск,,False,2020-12-10,,,,,False,False,False,False,False,24
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСОБЛСТРОЙ №5""",Юридическое лицо,Малое предприятие,1025000922176,5005001110,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Воскресенск г,,,False,2017-08-10,,,,,True,False,False,False,False,37
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСПРОМСТРОЙИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,1027739018944,7704040517,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2021-03-10,,,,,False,False,False,False,False,17
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСТИНЖСТРОЙ""",Юридическое лицо,Малое предприятие,1037739835726,7709502155,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Мытищи,,False,2018-08-10,,,,,False,False,False,False,False,19
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МР-ЦЕНТР""",Юридическое лицо,Малое предприятие,1227700524831,9715426146,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2023-07-10,,,,,False,False,False,False,False,1
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МУСЛЮМОВСКАЯ МСО""",Юридическое лицо,Малое предприятие,1041634600193,1629003431,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),Муслюмовский р-н,,с Муслюмово,False,2017-08-10,,,,,False,False,False,False,False,52
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""СКАД""",Юридическое лицо,Малое предприятие,1027739121563,7726065829,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2017-08-10,,,,,True,False,False,False,False,66
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НВБ ЭНЕРГИЯ""",Юридическое лицо,Малое предприятие,1107746029379,7719741321,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2017-08-10,,,,,True,False,False,False,False,66
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕВСКИЙ ПРОЕКТ""",Юридическое лицо,Малое предприятие,1027801564196,7802148357,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2017-08-10,,,,,True,False,False,False,False,50
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИИПРОМ""",Юридическое лицо,Малое предприятие,1127746056404,7718874505,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2017-08-10,,,,,True,False,False,False,False,44
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВАЯ ТЕХНОЛОГИЯ""",Юридическое лицо,Малое предприятие,1137232063100,7202255830,41.20 Строительство жилых и нежилых зданий,72 - Тюменская область,,г Тюмень,,False,2017-08-10,,,,,True,False,False,False,False,98
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОРДГРАД""",Юридическое лицо,Малое предприятие,1089847395791,7813427641,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2017-08-10,,,,,True,False,False,False,False,85
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ТРЕСТ ""СПЕЦГИДРОЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,1027809192344,7815014022,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2018-08-10,,,,,True,False,False,False,False,9
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРЛАН""",Юридическое лицо,Малое предприятие,1181690091263,1655409759,41.20 Строительство жилых и нежилых зданий,16 - Республика Татарстан (Татарстан),,г Казань,,False,2018-12-10,,,,,False,False,False,False,False,15
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА № 8""",Юридическое лицо,Среднее предприятие,1022102832146,2115000346,41.20 Строительство жилых и нежилых зданий,21 - Чувашская Республика - Чувашия,Цивильский р-н,г Цивильск,,False,2017-08-10,,,,,True,False,False,False,False,123
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПЕТРОС""",Юридическое лицо,Малое предприятие,1037835001038,7816131635,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2017-08-10,,,,,True,False,False,False,False,48
